Name;Total kg CO2-eq/kg
Saithe, raw;9,87
Cod, fillet, raw;9,87
Plaice, fillet, breaded, dybfrost;6,66
Saithe (UK), pollock (US), fillet, frozen;9,78
Tuna, raw;10,14
Salmon, Atlantic, aquaculture, cold smoked;11,89
Salmon, atlantic, aquaculture, hot smoked;12,20
Salmon, atlantic, aquaculture, raw;9,11
Mayonnaise, low fat;1,22
Mayonnaise;3,55
Remoulade, average values;1,88
Oyster, raw;1,13
Mussel, raw;0,22
Octopus, raw;0,46
Mushroom, raw;0,47
Oyster mushroom;0,47
Almondmilk, unfortified;3,52
Ricemilk, with added calcium;0,39
Oatmilk, with added calcium;0,37
Soymilk, with added calcium;0,38
Bouillon, chicken, prepared;0,38
Meat balls, canned;11,42
Bouillon, beef, prepared;0,52
Meat balls, average values;11,42
Dumplings, average values;1,27
Meat balls, frozen;11,08
Soup, tomato, ready to eat;1,84
Bouillon, beef, concentrated, cube;7,26
Dumplings, frozen;1,31
Chicken, grilled, fast food;3,61
Chicken nuggets, deepfried, ready meals;3,24
Pizza with tomato and cheese, ready meals;2,96
Pizza with seafood, tomato and cheese, ready meals;3,79
Pizza with salami, tomato and cheese, ready meals;3,15
Pizza with vegetables, fruit, tomato and cheese, ready meals;2,56
Pizza with meat, tomato and cheese, ready meals;3,91
Pizza with meat and seafood, tomato and cheese, ready meals;3,85
Veal and pork, mince, 15-20% fat, raw;15,26
Goat milk;4,40
Marzipan;6,25
Syrup, kitchen;0,93
Pasta, raw;1,73
Apple, raw, all varieties;0,66
Pear, raw;0,38
Grape, raw;0,94
Pork, collar with rind, raw;3,58
Pork, ham, topside (M. Semimembranosus), lean, raw;3,58
Pork, loin, lean, raw;4,19
Pork, tenderloin, trimmed, raw;5,40
Pork, mince, 5-10% fat, raw;2,90
Pork, collar, defatted, raw;3,57
Pork, mince, 15-20% fat, raw;2,97
Minced meat, spaghetti sauce type, average values, ready meals;13,74
Turtle, fake, average values, ready meals;18,49
Spring roll, frozen, ready meals;1,99
Pork in curry sauce, frozen, ready meals;3,82
Pizza Romana, frozen, ready meals;2,87
Liver, pig, in cream sauce, frozen, ready meals;2,90
Pizza Napolitana, frozen, ready meals;2,99
Spring roll, deepfried, ready meals;1,99
Pizza with broccoli, frozen, ready meals;2,58
Pizza with tuna, frozen, ready meals;3,26
Pork, minced and bound with flour and egg, boiled, frozen, ready meals;2,08
Potato, raw;0,36
Carrot, raw;0,25
Radish, raw;0,37
Beet, red, raw;0,31
Celeriac, celery root, raw;0,30
Ginger root, raw;1,85
Fennel, root, raw;4,46
Turnip, raw;0,25
Onions, chopped, frozen;0,37
Carrot, frozen;0,37
Onion, raw;0,90
Onions, spring, raw;0,90
Cassava, raw;0,74
Parsley root, raw;0,89
